字彙	詞類	中文	註解	級數	學術字彙
alone	adv./adj.	單獨(的)、獨自(的)、孤獨無伴(的)		Elementary	
along	prep.	沿著		Elementary	
along	adv.	向前、一起、來到		Elementary	
alongside	prep./adv.	在...旁邊、與...一起		Intermediate	
aloud	adv.	大聲地		Elementary	
alphabet	noun	字母表		Elementary	
already	adv.	已經		Elementary	
also	adv.	也、此外		Elementary	
alter	verb	改變、更動、修改(衣服使其合身)		High-Intermediate	L5
alternate	verb/adj.	輪流(的)、交替(的)		High-Intermediate	
alternative	noun	可供選擇的事物		Intermediate	L3
alternative	adj.	可替代的、可供選擇的；非傳統的、另類的		Intermediate	L3
although	conj.	雖然		Elementary	
altitude	noun	海拔高度		Intermediate	
altogether	adv.	全部、總共、總之		Elementary	
aluminium	noun	鋁		Intermediate	
always	adv.	總是、一直		Elementary	
am	verb	(主語為第一人稱單數)是		Elementary	
amateur	adj./noun	業餘的、業餘愛好的；業餘愛好者、業餘運動員		Intermediate	
amaze	verb	使驚奇		Intermediate	
ambassador	noun	大使		Intermediate	
ambiguity	noun	歧義、模稜兩可		High-Intermediate	
ambiguous	adj.	模稜兩可的、含混不清的		High-Intermediate	L8
ambition	noun	野心		Intermediate	
ambitious	adj.	有野心的、雄心勃勃的		Intermediate	
ambulance	noun	救護車		Elementary	
ambush	verb/noun	埋伏、伏擊		High-Intermediate	
amend	verb	修訂、修正(法律文件等)		High-Intermediate	L5
amendment	noun	修正案、修訂		High-Intermediate	
amends	noun	賠罪、賠償		High-Intermediate	
America	noun	美國、美洲		Elementary	
American	adj./noun	美國的、美洲的；美國人		Elementary	
amiable	adj.	和藹可親的		High-Intermediate	
amicable	adj.	友善的、友好的		High-Intermediate	
amid	prep.	在…中		Intermediate	
ammunition	noun	彈藥		High-Intermediate	
amnesty	noun	赦免、赦免期		High-Intermediate	
among	prep.	在...之中、在三者或以上之間		Elementary	
amount	noun	數量		Elementary	
ample	adj.	足夠的、豐富的		High-Intermediate	
amplify	verb	擴大、增強		High-Intermediate	
amuse	verb	逗樂、(使)娛樂		Intermediate	
amusement	noun	愉悅、娛樂(活動)		Intermediate	
analogy	noun	類比、比喻		High-Intermediate	L9
analysis	noun	分析		Intermediate	
analyst	noun	分析者、化驗員		Intermediate	
analytical	adj.	分析的	= analytic	High-Intermediate	
analyze	verb	分析	= analyse (British English)	Intermediate	
ancestor	noun	祖先		Intermediate	
anchor	noun/verb	錨；拋錨、下錨		High-Intermediate	
anchor	noun/verb	主持人；主持(電視、廣播節目)		High-Intermediate	
ancient	adj.	古代的、古老的		Elementary	
and	conj.	和、又、加上、接連		Elementary	
anecdote	noun	趣聞軼事		High-Intermediate	
angel	noun	天使		Elementary	
anger	noun	憤怒、怒氣		Elementary	
angle	noun	角度、觀點		Intermediate	
angler	noun	垂釣者		High-Intermediate	
angry	adj.	生氣的、憤怒的		Elementary	
animal	noun	動物		Elementary	
animate	adj./verb	有生命的、有活力的；使有生命、使有活力		High-Intermediate	
ankle	noun	腳踝		Elementary	
anniversary	noun	週年紀念日		Intermediate	
announce	verb	宣布、公告、廣播		Intermediate	
announcement	noun	宣布、公告		Intermediate	
announcer	noun	廣播員		Intermediate	
annoy	verb	使惱怒、打擾		Intermediate	
annoyance	noun	惱怒、煩惱、令人煩惱的事		High-Intermediate	
annual	adj./noun	每年的、一年一次的；年報、年刊		Intermediate	L4
anonymous	adj.	匿名的、不具名的		High-Intermediate	
another	pron./adj.	另一個、再一個；另外的、再一		Elementary	
answer	noun/verb	答案、回答；答覆、作答		Elementary	
ant	noun	螞蟻		Elementary	
Antarctic	adj./noun	南極的、南極地區的；南極、南極地區	= antarctic	High-Intermediate	
antenna	noun	觸角、觸鬚；天線		High-Intermediate	
anthem	noun	國歌、(群體的)團歌		High-Intermediate	
antibiotic	noun/adj.	抗生素；抗菌的		High-Intermediate	
antibody	noun	抗體		High-Intermediate	
anticipate	verb	預料、預見、期盼		High-Intermediate	L9
anticipation	noun	預料、預見、期盼		High-Intermediate	
antique	noun/adj.	古董、古物；古老的、古董的		High-Intermediate	
antonym	noun	反義詞		High-Intermediate	
anxiety	noun	焦慮、憂慮		Intermediate	
anxious	adj.	焦慮的、不安的；渴望做某事		Intermediate	
any	pron./adj.	任何一個、一些；任何的、絲毫的		Elementary	
any	adv.	(用於否定或疑問句)稍、根本		Elementary	
anybody	pron.	任何人	= anyone	Elementary	
anyhow	adv.	無論如何		Intermediate	
anymore	adv.	再也不、不再	=any more	Elementary	
anyone	pron.	任何人	= anybody	Elementary	
anything	pron.	任何東西、任何事情		Elementary	
anytime	adv.	在任何時候	=any time	Elementary	
anyway	adv.	無論如何、不管怎樣、反正		Elementary	
anywhere	adv.	任何地方	= anyplace	Elementary	
apart	adv./adj.	(空間或時間的)分隔、相隔；分離的		Intermediate	
apartheid	noun	(南非)種族隔離		High-Intermediate	
apartment	noun	公寓	= flat (British English)	Elementary	
ape	noun	人猿		Intermediate	
ape	verb	模仿、學...的樣子		Intermediate	
apologize	verb	道歉	= apoligise (British English)	Elementary	
apology	noun	道歉		Intermediate	
app	noun	應用程式		Intermediate	
appall	verb	使驚駭、使大為震驚	= appal (British English)	High-Intermediate	
appalling	adj.	令人震驚的、糟糕的		High-Intermediate	
apparatus	noun	儀器、設備；(政府的)組織、機構		High-Intermediate	
apparent	adj.	顯然的		Intermediate	L4
appeal	noun	呼籲；申訴；吸引力		Intermediate	
appeal	verb	呼籲；提出申訴；對...有吸引力		Intermediate	
appear	verb	出現、顯現		Elementary	
appear	verb	看來好像、似乎	=seem	Elementary	
appearance	noun	出現、公開露面；外貿、外表		Elementary	
appendix	noun	(書或文件的)附錄；闌尾		High-Intermediate	
appetite	noun	食慾、胃口		Intermediate	
applaud	verb	鼓掌、稱讚		Intermediate	
applause	noun	鼓掌、喝采		Intermediate	
apple	noun	蘋果		Elementary	
appliance	noun	家電、器具		Intermediate	
applicable	adj.	適用的		High-Intermediate	
applicant	noun	申請人		Intermediate	
application	noun	申請、申請書；用途、應用；應用軟體		Intermediate	
apply	verb	申請、請求；應用；適用；塗、敷		Elementary	
appoint	verb	任命、安排		Intermediate	
appointment	noun	約會、預約；任命；職務		Intermediate	
appraisal	noun	評價、評估		High-Intermediate	
appreciable	adj.	可觀的		High-Intermediate	L8
appreciate	verb	欣賞、賞識；感激、感謝		Elementary	L8
appreciation	noun	欣賞；感激、感謝		Intermediate	
apprehension	noun	憂慮、恐懼		High-Intermediate	
apprentice	noun/verb	學徒；使當學徒		High-Intermediate	
approach	noun	方式、方法		Intermediate	L1
approach	verb	接近；接洽；著手處理		Intermediate	L1
appropriate	adj.	合適、恰當的		Intermediate	L2
approval	noun	贊成、批准		Intermediate	
approve	verb	贊成、批准		Intermediate	
approximate	adj./verb	大約的；接近		High-Intermediate	L4
April	noun	四月	= Apr.	Elementary	
apron	noun	圍裙		Intermediate	
apt	adj.	有…傾向的；恰當的、適當的；聰穎的		High-Intermediate	
aptitude	noun	天資、資質		High-Intermediate	
aquarium	noun	魚缸、水族館		Intermediate	
arbitrary	adj.	武斷的、專制的		High-Intermediate	L8
arc	noun/verb	弧形；作弧形運動		High-Intermediate	
arch	noun/verb	拱門；使成弓形		Intermediate	
archaeology	noun	考古學	= archeology	High-Intermediate	
architect	noun	建築師		Intermediate	
architectural	adj.	建築學的、建築方面的		High-Intermediate	
architecture	noun	建築學、建築設計		Intermediate	
archive	noun/verb	檔案、檔案室；歸檔、存檔		High-Intermediate	
Arctic	adj./noun	北極的、北極地區的；北極、北極地區	= arctic	High-Intermediate	
are	verb	(主詞為we、you、they的現在式)是		Elementary	
area	noun	地區、範圍、面積		Elementary	L1
arena	noun	圓形運動場、圓形劇場、活動場所		High-Intermediate	
argue	verb	爭吵、爭論		Elementary	
argument	noun	爭吵、論點		Intermediate	
arise	verb	發生、由…引起		Intermediate	
arithmetic	noun/adj.	算術；算術的		Intermediate	
arm	noun	手臂、袖子、扶手		Elementary	
arm	verb	武裝、備戰		Elementary	
armchair	noun	扶手椅		Elementary	
armor	noun/verb	盔甲、裝甲；穿盔甲、提供防禦	= armour (British English)	High-Intermediate	
arms	noun	武器、兵器		High-Intermediate	
army	noun	軍隊、陸軍；大批、大群		Elementary	
around	prep./adv.	圍繞、在...附近、大約		Elementary	
arouse	verb	激起		Intermediate	
arrange	verb	安排、籌劃；排列、佈置		Elementary	
arrangement	noun	安排、籌備		Intermediate	
array	noun	大量、一批		High-Intermediate	
array	verb	配置、布置、排列		High-Intermediate	
arrest	verb/noun	逮捕		Elementary	
arrival	noun	抵達		Intermediate	
arrive	verb	到達、來臨		Elementary	
arrogant	adj.	傲慢的、自大的		High-Intermediate	
arrow	noun	弓箭、箭號		Intermediate	
art	noun	藝術、美術		Elementary	
artery	noun	動脈、(道路)主幹線		High-Intermediate	
article	noun	文章、報導；物品、物件、(語法)冠詞		Elementary	
articulate	adj./verb	口齒清楚的、善於表達的；清楚說明、口齒清楚		High-Intermediate	
artifact	noun	手工藝品	=artefact	High-Intermediate	
artificial	adj.	人工的、人造的		Intermediate	
artillery	noun	火炮		High-Intermediate	
artist	noun	藝術家、畫家		Elementary	
artistic	adj.	藝術的、有藝術天賦的		Intermediate	
as	conj.	因為、當...時、以...的方式		Elementary	
as	prep.	作為、以...的身分		Elementary	
as	adv.	像...一樣、和...一樣		Elementary	
ascend	verb	上升、登高		Intermediate	
ascertain	verb	查明、弄清		High-Intermediate	
ascribe	verb	把...歸因於、認為...具有		High-Intermediate	
ash	noun	灰燼		Intermediate	
ashamed	adj.	感到羞愧的		Intermediate	
Asia	noun	亞洲		Elementary	
Asian	adj./noun	亞洲的、亞洲人的；亞洲人		Elementary	
aside	adv.	在旁邊		Intermediate	
ask	verb	詢問、請求		Elementary	
asleep	adj.	睡著的		Elementary	
aspect	noun	方面、層面		Intermediate	L2
aspiration	noun	抱負、渴望		High-Intermediate	
aspirin	noun	阿斯匹靈		Intermediate	
ass	noun	傻瓜、笨蛋；屁股		High-Intermediate	
assassinate	verb	暗殺		Intermediate	
assault	noun/verb	攻擊、襲擊		High-Intermediate	
assemble	verb	集合、聚集；組裝		Intermediate	L10
assembly	noun	集會、議會；裝配		Intermediate	
assert	verb	堅稱、維護(權利)		High-Intermediate	
assess	verb	評價、估算		High-Intermediate	L1
assessment	noun	評價、評定		High-Intermediate	
asset	noun	資產		Intermediate	
assign	verb	指派、分配		Intermediate	L6
assignment	noun	(學業或工作上的)任務、分派(任務)		High-Intermediate	
assimilate	verb	消化吸收、理解、融入		High-Intermediate	
assist	verb	協助、援助		Intermediate	L2
assistance	noun	幫忙、援助		Intermediate	L2
assistant	noun/adj.	助手、助理；(常用於頭銜)助理的、副的		Elementary	
associate	verb	聯想、聯繫		Intermediate	
associate	noun	同事、合夥人		Intermediate	
associate	adj.	副的、非正式的		Intermediate	
association	noun	協會、社團、聯盟；關聯、聯想		Intermediate	
assume	verb	假定為、假設		Elementary	L1
assumption	noun	假設		High-Intermediate	
assurance	noun	保證、擔保；自信		Intermediate	L9
assure	verb	向...保證、確保		Intermediate	L9
assured	adj.	自信的、確定的		High-Intermediate	
asthma	noun	氣喘		High-Intermediate	
astonish	verb	使吃驚		Intermediate	
astray	adv./adj.	迷路地、誤入歧途地；迷路的、誤入歧途的		High-Intermediate	
astronaut	noun	太空人		Intermediate	
astronomer	noun	天文學家		High-Intermediate	
astronomy	noun	天文學		High-Intermediate	
asylum	noun	庇護、避難		High-Intermediate	
at	prep.	在...時刻、在...地點或位置、對著		Elementary	
athlete	noun	運動員、擅長運動的人		Intermediate	
athletic	adj.	健壯的、擅長運動的、田徑運動的		Intermediate	
athletics	noun	體育運動、田徑運動		High-Intermediate	
ATM	noun	自動提款機	= automatic teller machine	High-Intermediate	
atmosphere	noun	大氣、大氣層、空氣；氣氛、氛圍		Intermediate	
atom	noun	原子		Intermediate	
atomic	adj.	原子的、原子能的		Intermediate	
atrocity	noun	凶惡、殘暴行為		High-Intermediate	
attach	verb	裝上、使依附		Intermediate	L6
attached	adj.	依戀的、附屬的		High-Intermediate	L6
attack	noun/verb	攻擊、進攻、抨擊		Elementary	
attain	verb	獲得、達到		High-Intermediate	L9
attempt	noun/verb	嘗試、企圖		Intermediate	
attempted	adj.	(犯罪)未遂的		High-Intermediate	
attend	verb	出席、參加		Elementary	
attendance	noun	參加、出席、出席人數		High-Intermediate	
attendant	noun	服務員、侍者		High-Intermediate	
attendant	adj.	伴隨的、隨之而來的		High-Intermediate	
attention	noun	注意力、關注		Elementary	
attic	noun	閣樓		High-Intermediate	
attitude	noun	態度		Intermediate	L4
attorney	noun	律師		High-Intermediate	
attract	verb	吸引		Intermediate	
attraction	noun	吸引力；迷戀、愛慕		Intermediate	
attractive	adj.	誘人的、吸引人的		Intermediate	
attribute	verb	歸因於		High-Intermediate	L4
attribute	noun	屬性、特徵		High-Intermediate	L4
auction	noun/verb	拍賣		High-Intermediate	
audience	noun	聽眾、觀眾		Elementary	
audio	adj.	聲音的、錄音的		Intermediate	
audit	verb/noun	審計、稽核、查帳		High-Intermediate	
audit	verb	旁聽(大學課程)		High-Intermediate	
auditorium	noun	觀眾席；禮堂、劇院、音樂廳		High-Intermediate	
August	noun	八月	= Aug.	Elementary	
aunt	noun	姑姑、阿姨、舅媽	= auntie= aunty	Elementary	
Australia	noun	澳洲		Elementary	
authentic	adj.	真實的、真正的、真跡的、可信的		High-Intermediate	
author	noun	作者		Intermediate	L6
authoritative	adj.	具權威的、專斷的		High-Intermediate	L1
authority	noun	權力、職權；官方、當權者		Intermediate	L1
authorize	verb	批准、授權	= authorise (British English)	High-Intermediate	
auto	noun	汽車		High-Intermediate	
autobiography	noun	自傳		Intermediate	
autograph	noun/verb	親筆簽名；在...上簽名		High-Intermediate	
automatic	adj.	自動的		Intermediate	
automation	noun	自動化		High-Intermediate	
automobile	noun	汽車	= auto	Intermediate	
autonomous	adj.	自治的、自主的		High-Intermediate	
autonomy	noun	自治(權)、自主(權)		High-Intermediate	
autumn	noun	秋天	= fall	Elementary	
auxiliary	noun	助動詞	= aux.	Intermediate	
auxiliary	noun/adj.	輔助人員；輔助的		Intermediate	
avail	verb/noun	(對人或物)有幫助；幫助、效益		High-Intermediate	
available	adj.	有空的、可獲得的		Elementary	L1
avenue	noun	大街；途徑、管道、方法		Intermediate	
average	adj./noun/verb	平均的；平均數；平均為		Intermediate	
avert	verb	防止、避開		High-Intermediate	
aviary	noun	大鳥籠、鳥舍		High-Intermediate	
aviation	noun	航空、航空製造業、飛行		High-Intermediate	
avoid	verb	避免、避開		Elementary	
await	verb	等待		Intermediate	
awake	adj./verb	醒著；醒來、喚起		Intermediate	
awaken	verb	醒來、喚醒		Intermediate	
award	noun/verb	獎、獎金、獎品；獎勵、授予		Intermediate	
